Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
12225,3524,0,9585,374,1900,0
12250,3524,0,9601,376,1900,0
12275,3524,0,9614,376,1900,0
12300,3524,0,9629,376,1900,0
12325,3524,0,9644,378,1900,0
12350,3524,0,9663,378,1900,0
12375,3524,0,9680,378,1900,0
12400,3524,0,9693,382,1900,0
12425,3524,0,9707,382,1900,0
12450,3524,0,9722,382,1900,0
12475,3524,0,9740,394,1900,0
12500,3524,0,9753,394,1900,0
12525,3524,0,9771,394,1900,0
12550,3524,0,9787,398,1900,0
12575,3524,0,9803,398,1900,0
12600,3524,0,9816,398,1958,0
12625,3524,0,9829,404,1958,0
12650,3524,0,9844,404,1958,0
12675,3524,0,9860,404,1958,0
12700,3524,0,9876,406,1958,0
12725,3524,0,9894,406,1958,0
12750,3524,0,9911,406,1958,0
12775,3524,0,9927,408,1958,0
12800,3524,0,9938,408,1958,0
12825,3524,0,9948,408,1958,0
12850,3524,0,9962,412,1958,0
12875,3524,0,9978,412,1958,0
12900,3524,0,9994,412,1958,0
12925,3524,0,10008,414,1958,0
12950,3638,0,10025,414,1958,0
12975,3638,0,10038,414,1958,0
13000,3638,0,10058,416,1958,0
13025,3638,0,10072,416,2016,0
13050,3638,0,10086,416,2016,0
13075,3638,0,10099,424,2016,0
13100,3638,0,10114,424,2016,0
13125,3638,0,10130,424,2016,0
13150,3638,0,10147,426,2016,0
13175,3638,0,10160,426,2016,0
13200,3638,0,10173,426,2016,0
13225,3638,0,10189,428,2016,0
13250,3638,0,10205,428,2016,0
13275,3638,0,10219,428,2016,0
13300,3638,0,10230,434,2016,0
13325,3638,0,10247,434,2016,0
13350,3638,0,10264,434,2016,0
13375,3638,0,10277,442,2016,0
13400,3638,0,10292,442,2016,0
13425,3638,0,10306,442,2016,0
13450,3638,0,10320,444,2016,0
13475,3638,0,10338,444,2016,0
13500,3638,0,10356,444,2016,0
13525,3638,0,10370,446,2016,0
13550,3638,0,10385,446,2016,0
13575,3638,0,10404,446,2074,0
13600,3638,0,10421,448,2074,0
13625,3638,0,10437,448,2074,0
13650,3638,0,10450,448,2074,0
13675,3638,0,10463,452,2074,0
13700,3638,0,10476,452,2074,0
13725,3638,0,10492,452,2074,0
13750,3638,0,10509,454,2074,0
13775,3638,0,10520,454,2074,0
13800,3638,0,10536,454,2074,0
13825,3638,0,10550,456,2074,0
13850,3638,0,10564,456,2074,0
13875,3638,0,10577,456,2074,0
13900,3638,0,10591,458,2074,0
13925,3638,0,10605,458,2074,0
13950,3638,0,10624,458,2074,0
13975,3638,0,10641,462,2074,0
14000,3638,0,10652,462,2074,0
14025,3638,0,10668,462,2074,0
14050,3638,0,10684,474,2074,0
14075,3638,0,10699,474,2074,0
14100,3638,0,10715,474,2074,0
14125,3638,0,10727,476,2074,0
14150,3638,0,10740,476,2074,0
14175,3638,0,10756,476,2132,0
14200,3638,0,10772,490,2132,0
14225,3752,0,10781,490,2132,0
14250,3752,0,10795,490,2132,0
14275,3752,0,10809,494,2132,0
14300,3752,0,10824,494,2132,0
14325,3752,0,10839,494,2132,0
14350,3752,0,10851,496,2132,0
14375,3752,0,10866,496,2132,0
14400,3752,0,10878,496,2132,0
14425,3752,0,10894,498,2132,0
14450,3752,0,10904,498,2132,0
14475,3752,0,10920,498,2132,0
14500,3752,0,10933,504,2132,0
14525,3752,0,10948,504,2132,0
14550,3752,0,10963,504,2132,0
14575,3752,0,10977,506,2132,0
14600,3752,0,10988,506,2132,0
14625,3752,0,11003,506,2132,0
14650,3752,0,11014,510,2132,0
14675,3752,0,11024,510,2132,0
14700,3752,0,11044,510,2132,0
14725,3752,0,11060,512,2132,0
14750,3752,0,11074,512,2132,0
14775,3752,0,11088,512,2190,0
14800,3752,0,11102,514,2190,0
14825,3752,0,11115,514,2190,0
14850,3752,0,11131,514,2190,0
14875,3752,0,11146,522,2190,0
14900,3752,0,11162,522,2190,0
14925,3752,0,11177,522,2190,0
14950,3752,0,11190,532,2190,0
14975,3752,0,11206,532,2190,0
15000,3752,0,11220,532,2190,0
15025,3752,0,11235,534,2190,0
15050,3752,0,11247,534,2190,0
15075,3752,0,11259,534,2190,0
15100,3752,0,11274,536,2190,0
15125,3752,0,11287,536,2190,0
15150,3752,0,11300,536,2190,0
15175,3752,0,11314,538,2190,0
15200,3752,0,11327,538,2190,0
15225,3752,0,11343,538,2190,0
15250,3752,0,11357,540,2190,0
15275,3752,0,11375,540,2190,0
15300,3752,0,11390,540,2190,0
15325,3752,0,11403,544,2190,0
15350,3752,0,11418,544,2190,0
15375,3752,0,11432,544,2190,0
15400,3752,0,11446,546,2190,0
15425,3866,0,11463,546,2190,0
15450,3866,0,11476,546,2190,0
15475,3866,0,11485,548,2190,0
15500,3866,0,11503,548,2248,0
15525,3866,0,11517,548,2248,0
15550,3866,0,11535,552,2248,0
15575,3866,0,11547,552,2248,0
15600,3866,0,11557,552,2248,0
15625,3866,0,11570,554,2248,0
15650,3866,0,11583,554,2248,0
15675,3866,0,11593,554,2248,0
15700,3866,0,11608,560,2248,0
15725,3866,0,11621,560,2248,0
15750,3866,0,11633,560,2248,0
15775,3866,0,11646,562,2248,0
15800,3866,0,11656,562,2248,0
15825,3866,0,11669,562,2248,0
15850,3866,0,11682,564,2248,0
15875,3866,0,11695,564,2248,0
15900,3866,0,11708,564,2248,0
15925,3866,0,11719,568,2248,0
15950,3866,0,11737,568,2248,0
15975,3866,0,11750,568,2248,0
16000,3866,0,11760,572,2248,0
16025,3866,0,11773,572,2248,0
16050,3866,0,11792,572,2248,0
16075,3866,0,11805,578,2248,0
16100,3866,0,11820,578,2248,0
16125,3866,0,11830,578,2248,0
16150,3866,0,11840,580,2248,0
16175,3866,0,11852,580,2306,0
16200,3866,0,11862,580,2306,0
16225,3866,0,11875,582,2306,0
16250,3866,0,11889,582,2306,0
16275,3866,0,11902,582,2306,0
16300,3866,0,11911,586,2306,0
16325,3866,0,11927,586,2306,0
16350,3866,0,11940,586,2306,0
16375,3866,0,11950,598,2306,0
16400,3866,0,11961,598,2306,0
16425,3866,0,11970,598,2306,0
16450,3866,0,11981,600,2306,0
16475,3866,0,11992,600,2306,0
16500,3866,0,12003,600,2306,0
16525,3866,0,12013,602,2306,0
16550,3866,0,12024,602,2306,0
16575,3866,0,12038,602,2306,0
16600,3866,0,12051,604,2306,0
16625,3866,0,12061,604,2306,0
16650,3866,0,12076,604,2306,0
16675,3866,0,12087,606,2306,0
16700,3866,0,12099,606,2306,0
16725,3866,0,12111,606,2306,0
16750,3866,0,12125,608,2306,0
16775,3866,0,12137,608,2306,0
16800,3980,0,12149,608,2306,0
16825,3980,0,12160,616,2364,0
16850,3980,0,12172,616,2364,0
16875,3980,0,12181,616,2364,0
16900,3980,0,12197,618,2364,0
16925,3980,0,12207,618,2364,0
16950,3980,0,12221,618,2364,0
16975,3980,0,12233,624,2364,0
17000,3980,0,12248,624,2364,0
17025,3980,0,12257,624,2364,0
17050,3980,0,12268,632,2364,0
17075,3980,0,12283,632,2364,0
17100,3980,0,12294,632,2364,0
17125,3980,0,12306,634,2364,0
17150,3980,0,12317,634,2364,0
17175,3980,0,12330,634,2364,0
17200,3980,0,12340,638,2364,0
17225,3980,0,12353,638,2364,0
17250,3980,0,12368,638,2364,0
17275,3980,0,12379,640,2364,0
17300,3980,0,12393,640,2364,0
17325,3980,0,12405,640,2364,0
17350,3980,0,12414,642,2364,0
17375,3980,0,12427,642,2364,0
17400,3980,0,12438,642,2364,0
17425,3980,0,12450,646,2364,0
17450,3980,0,12462,646,2364,0
17475,3980,0,12477,646,2364,0
17500,3980,0,12489,648,2364,0
17525,3980,0,12506,648,2364,0
17550,3980,0,12518,648,2364,0
17575,3980,0,12531,650,2364,0
17600,3980,0,12543,650,2364,0
17625,3980,0,12556,650,2364,0
17650,3980,0,12567,662,2422,0
17675,3980,0,12581,662,2422,0
17700,3980,0,12592,662,2422,0
17725,3980,0,12603,664,2422,0
17750,3980,0,12616,664,2422,0
17775,3980,0,12631,664,2422,0
17800,3980,0,12640,666,2422,0
17825,3980,0,12652,666,2422,0
17850,3980,0,12665,666,2422,0
17875,3980,0,12675,670,2422,0
17900,3980,0,12691,670,2422,0
17925,3980,0,12702,670,2422,0
17950,3980,0,12709,672,2422,0
17975,3980,0,12725,672,2422,0
18000,3980,0,12737,672,2422,0
18025,4094,0,12749,686,2422,0
18050,4094,0,12758,686,2422,0
18075,4094,0,12770,686,2422,0
18100,4094,0,12782,688,2422,0
18125,4094,0,12794,688,2422,0
18150,4094,0,12805,688,2422,0
18175,4094,0,12817,694,2422,0
18200,4094,0,12828,694,2422,0
18225,4094,0,12840,694,2422,0
18250,4094,0,12850,696,2422,0
18275,4094,0,12863,696,2422,0
18300,4094,0,12874,696,2422,0
18325,4094,0,12887,700,2422,0
18350,4094,0,12895,700,2422,0
18375,4094,0,12906,700,2422,0
18400,4094,0,12919,702,2422,0
18425,4094,0,12933,702,2422,0
18450,4094,0,12939,702,2480,0
18475,4094,0,12952,704,2480,0
18500,4094,0,12964,704,2480,0
18525,4094,0,12977,704,2480,0
18550,4094,0,12988,706,2480,0
18575,4094,0,13000,706,2480,0
18600,4094,0,13011,706,2480,0
18625,4094,0,13023,708,2480,0
18650,4094,0,13036,708,2480,0
18675,4094,0,13048,708,2480,0
18700,4094,0,13057,716,2480,0
18725,4094,0,13065,716,2480,0
18750,4094,0,13074,716,2480,0
18775,4094,0,13090,726,2480,0
18800,4094,0,13106,726,2480,0
18825,4094,0,13118,726,2480,0
18850,4094,0,13130,728,2480,0
18875,4094,0,13142,728,2480,0
18900,4094,0,13154,728,2480,0
18925,4094,0,13165,730,2480,0
18950,4094,0,13177,730,2480,0
18975,4094,0,13190,730,2537,0
19000,4094,0,13199,732,2538,0
19025,4094,0,13208,732,2538,0
19050,4094,0,13218,732,2538,0
19075,4094,0,13229,736,2538,0
19100,4094,0,13241,736,2538,0
19125,4094,0,13252,736,2538,0
19150,4094,0,13260,740,2538,0
19175,4094,0,13269,740,2538,0
19200,4094,0,13281,740,2538,0
19225,4094,0,13292,744,2538,0
19250,4094,0,13300,744,2538,0
19275,4094,0,13312,744,2538,0
19300,4094,0,13322,750,2538,0
19325,4094,0,13330,750,2538,0
19350,4094,0,13342,750,2538,0
19375,4094,0,13355,752,2538,0
19400,4094,0,13364,752,2538,0
19425,4208,0,13377,752,2538,0
