Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
9800,2072,1595,1008,1341,2538,1411,398
9825,2079,1606,1016,1350,2546,1419,398
9850,2083,1610,1017,1357,2555,1421,400
9875,2087,1617,1021,1363,2561,1428,400
9900,2093,1625,1026,1373,2569,1436,402
9925,2098,1630,1031,1376,2576,1441,402
9950,2106,1634,1035,1382,2581,1445,402
9975,2112,1645,1042,1394,2594,1454,403
10000,2119,1654,1045,1403,2605,1458,404
10025,2124,1662,1052,1412,2617,1464,404
10050,2126,1668,1056,1415,2625,1468,404
10075,2133,1672,1059,1421,2636,1472,405
10100,2138,1678,1062,1427,2643,1477,407
10125,2147,1688,1067,1439,2656,1487,409
10150,2156,1694,1074,1446,2661,1494,409
10175,2160,1698,1075,1452,2673,1497,410
10200,2165,1704,1077,1456,2681,1502,412
10225,2171,1713,1084,1461,2694,1509,412
10250,2178,1717,1087,1464,2701,1513,414
10275,2182,1723,1089,1469,2710,1516,415
10300,2187,1727,1091,1472,2717,1520,416
10325,2194,1732,1096,1476,2726,1524,416
10350,2196,1736,1098,1482,2733,1526,416
10375,2200,1738,1099,1486,2737,1528,418
10400,2204,1745,1102,1495,2746,1533,418
10425,2209,1754,1108,1505,2755,1540,419
10450,2216,1762,1114,1515,2765,1548,419
10475,2218,1768,1120,1521,2772,1555,420
10500,2227,1775,1126,1528,2783,1558,422
10525,2233,1780,1131,1533,2789,1564,424
10550,2238,1787,1138,1541,2797,1571,424
10575,2245,1795,1143,1549,2804,1577,424
10600,2250,1802,1147,1557,2814,1583,425
10625,2257,1806,1148,1563,2819,1589,426
10650,2261,1811,1153,1570,2826,1597,426
10675,2267,1818,1158,1577,2837,1601,427
10700,2272,1824,1162,1581,2845,1607,428
10725,2278,1830,1165,1590,2852,1611,428
10750,2283,1835,1170,1597,2859,1618,428
10775,2287,1841,1171,1601,2866,1627,429
10800,2291,1845,1176,1607,2876,1632,430
10825,2298,1853,1180,1616,2887,1637,431
10850,2309,1864,1183,1628,2897,1646,433
10875,2315,1868,1188,1634,2903,1651,435
10900,2319,1876,1192,1639,2911,1656,438
10925,2324,1883,1196,1646,2916,1663,441
10950,2329,1885,1196,1651,2920,1666,442
10975,2332,1891,1202,1658,2930,1671,442
11000,2339,1895,1205,1664,2940,1676,445
11025,2344,1900,1211,1669,2948,1682,445
11050,2350,1906,1216,1679,2954,1687,446
11075,2354,1909,1217,1682,2959,1691,447
11100,2362,1914,1219,1690,2966,1701,448
11125,2364,1919,1222,1696,2974,1706,448
11150,2368,1928,1230,1705,2985,1714,448
11175,2371,1938,1236,1717,2995,1724,448
11200,2375,1946,1241,1723,3002,1728,449
11225,2376,1955,1246,1730,3010,1734,451
11250,2385,1961,1249,1735,3022,1740,453
11275,2391,1967,1254,1746,3032,1747,454
11300,2396,1974,1259,1755,3041,1752,456
11325,2401,1979,1262,1759,3050,1755,456
11350,2408,1986,1266,1766,3058,1760,457
11375,2416,1996,1276,1773,3073,1773,458
11400,2425,2004,1282,1782,3085,1779,458
11425,2431,2012,1285,1788,3096,1783,459
11450,2434,2020,1291,1795,3103,1787,461
11475,2439,2027,1294,1800,3112,1789,461
11500,2449,2036,1300,1806,3123,1795,461
11525,2454,2041,1305,1813,3131,1802,462
11550,2459,2048,1309,1820,3141,1809,464
11575,2464,2053,1312,1827,3148,1814,466
11600,2466,2058,1314,1834,3154,1820,466
11625,2473,2064,1316,1838,3163,1826,467
11650,2479,2069,1322,1844,3168,1831,469
11675,2488,2081,1328,1851,3178,1838,471
11700,2495,2089,1331,1860,3186,1844,472
11725,2496,2094,1335,1866,3193,1849,474
11750,2505,2102,1342,1875,3206,1859,475
11775,2511,2113,1353,1887,3222,1869,475
11800,2515,2122,1359,1896,3231,1876,476
11825,2521,2129,1362,1903,3238,1882,476
11850,2526,2136,1366,1914,3250,1889,479
11875,2531,2144,1369,1926,3263,1894,481
11900,2538,2150,1372,1933,3271,1899,481
11925,2547,2155,1375,1942,3284,1905,482
11950,2554,2164,1380,1952,3297,1912,484
11975,2563,2168,1383,1959,3304,1916,484
12000,2566,2174,1387,1967,3311,1921,486
12025,2569,2179,1391,1977,3322,1926,487
12050,2580,2186,1398,1984,3328,1932,487
12075,2586,2189,1401,1988,3334,1935,489
12100,2591,2195,1405,1995,3343,1940,491
12125,2601,2205,1414,2006,3355,1950,492
12150,2605,2213,1420,2017,3364,1959,492
12175,2611,2221,1424,2026,3376,1966,493
12200,2615,2225,1427,2031,3384,1970,493
12225,2627,2233,1432,2040,3393,1977,495
12250,2634,2242,1434,2049,3402,1983,495
12275,2637,2248,1439,2055,3412,1988,496
12300,2646,2257,1444,2065,3425,1996,496
12325,2650,2266,1445,2076,3437,2001,497
12350,2654,2272,1449,2085,3446,2007,498
12375,2658,2277,1450,2089,3449,2008,499
12400,2664,2284,1455,2099,3457,2012,500
12425,2670,2292,1458,2109,3469,2018,501
12450,2678,2297,1461,2117,3475,2021,502
12475,2686,2305,1469,2124,3485,2027,503
12500,2690,2314,1474,2137,3496,2033,503
12525,2695,2319,1477,2140,3501,2036,505
12550,2700,2327,1482,2146,3507,2046,507
12575,2705,2333,1486,2152,3518,2051,507
12600,2707,2338,1489,2157,3524,2055,508
12625,2714,2342,1492,2162,3530,2058,510
12650,2721,2346,1496,2170,3542,2064,511
12675,2727,2353,1501,2176,3547,2071,512
12700,2730,2359,1502,2182,3556,2074,513
12725,2737,2365,1504,2187,3563,2079,516
12750,2742,2373,1509,2194,3573,2088,519
12775,2747,2381,1517,2201,3585,2095,519
12800,2750,2388,1521,2204,3590,2100,519
12825,2755,2394,1523,2208,3598,2104,521
12850,2761,2402,1526,2219,3607,2110,522
12875,2767,2405,1528,2223,3613,2113,522
12900,2769,2410,1533,2229,3619,2116,523
12925,2777,2416,1538,2236,3631,2122,524
12950,2785,2426,1546,2247,3641,2131,524
12975,2790,2430,1547,2252,3648,2134,525
13000,2795,2436,1552,2262,3657,2139,528
13025,2802,2441,1555,2269,3663,2145,528
13050,2808,2447,1559,2275,3672,2151,530
13075,2815,2455,1562,2278,3680,2157,532
13100,2818,2461,1565,2284,3688,2161,533
13125,2823,2467,1571,2293,3695,2168,533
