Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
8925,3904,0,4794,266,1712
8950,3904,0,4807,270,1712
8975,3904,0,4816,270,1788
9000,3904,0,4824,270,1788
9025,3904,0,4832,272,1788
9050,3904,0,4838,272,1788
9075,3904,0,4850,272,1788
9100,4054,0,4860,274,1788
9125,4054,0,4870,274,1788
9150,4054,0,4879,274,1788
9175,4054,0,4889,278,1788
9200,4054,0,4903,278,1788
9225,4054,0,4912,278,1788
9250,4054,0,4920,292,1788
9275,4054,0,4929,292,1788
9300,4054,0,4942,292,1788
9325,4054,0,4952,296,1788
9350,4054,0,4962,296,1788
9375,4054,0,4969,296,1788
9400,4054,0,4979,298,1788
9425,4054,0,4984,298,1788
9450,4054,0,4997,298,1788
9475,4054,0,5007,300,1788
9500,4054,0,5015,300,1788
9525,4054,0,5022,300,1788
9550,4054,0,5028,306,1788
9575,4054,0,5042,306,1788
9600,4054,0,5050,306,1788
9625,4054,0,5060,312,1788
9650,4054,0,5076,312,1788
9675,4054,0,5082,312,1788
9700,4054,0,5091,324,1788
9725,4054,0,5106,324,1864
9750,4054,0,5112,324,1864
9775,4054,0,5119,328,1864
9800,4054,0,5125,328,1864
9825,4054,0,5136,328,1864
9850,4054,0,5147,330,1864
9875,4054,0,5155,330,1864
9900,4054,0,5166,330,1864
9925,4054,0,5175,332,1864
9950,4054,0,5185,332,1864
9975,4054,0,5194,332,1864
10000,4054,0,5202,336,1864
10025,4054,0,5211,336,1864
10050,4054,0,5219,336,1864
10075,4054,0,5227,338,1864
10100,4054,0,5235,338,1864
10125,4054,0,5246,338,1864
10150,4054,0,5256,342,1864
10175,4054,0,5262,342,1864
10200,4054,0,5270,342,1864
10225,4054,0,5283,346,1864
10250,4204,0,5293,346,1864
10275,4204,0,5300,346,1864
10300,4204,0,5306,348,1864
10325,4204,0,5319,348,1864
10350,4204,0,5327,348,1864
10375,4204,0,5335,350,1864
10400,4204,0,5341,350,1864
10425,4204,0,5353,350,1864
