Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.05,NIndepLinUCB-alpha=0.01,NIndepLinUCB-alpha=0.3,NIndepLinUCB-alpha=0,NIndepLinUCB-alpha=1.5
14475,3524,0,0,0,0,0
14500,3638,0,0,0,0,0
14525,3638,0,0,0,0,0
14550,3638,0,0,0,0,0
14575,3638,0,0,0,0,0
14600,3638,0,0,0,0,0
14625,3638,0,0,0,0,0
14650,3638,0,0,0,0,0
14675,3638,0,0,0,0,0
14700,3638,0,0,0,0,0
14725,3638,0,0,0,0,0
14750,3638,0,0,0,0,0
14775,3638,0,0,0,0,0
14800,3638,0,0,0,0,0
14825,3638,0,0,0,0,0
14850,3638,0,0,0,0,0
14875,3638,0,0,0,0,0
14900,3638,0,0,0,0,0
14925,3638,0,0,0,0,0
14950,3638,0,0,0,0,0
14975,3638,0,0,0,0,0
15000,3638,0,0,0,0,0
15025,3638,0,0,0,0,0
15050,3638,0,0,0,0,0
15075,3638,0,0,0,0,0
15100,3638,0,0,0,0,0
15125,3638,0,0,0,0,0
15150,3638,0,0,0,0,0
15175,3638,0,0,0,0,0
15200,3638,0,0,0,0,0
15225,3638,0,0,0,0,0
15250,3638,0,0,0,0,0
15275,3638,0,0,0,0,0
15300,3638,0,0,0,0,0
15325,3638,0,0,0,0,0
15350,3638,0,0,0,0,0
15375,3638,0,0,0,0,0
15400,3638,0,0,0,0,0
15425,3638,0,0,0,0,0
15450,3638,0,0,0,0,0
15475,3638,0,0,0,0,0
15500,3638,0,0,0,0,0
15525,3638,0,0,0,0,0
15550,3638,0,0,0,0,0
15575,3638,0,0,0,0,0
15600,3638,0,0,0,0,0
15625,3638,0,0,0,0,0
15650,3638,0,0,0,0,0
15675,3638,0,0,0,0,0
15700,3638,0,0,0,0,0
15725,3638,0,0,0,0,0
15750,3638,0,0,0,0,0
15775,3638,0,0,0,0,0
15800,3638,0,0,0,0,0
15825,3638,0,0,0,0,0
15850,3638,0,0,0,0,0
15875,3638,0,0,0,0,0
15900,3638,0,0,0,0,0
15925,3638,0,0,0,0,0
15950,3752,0,0,0,0,0
15975,3752,0,0,0,0,0
16000,3752,0,0,0,0,0
16025,3752,0,0,0,0,0
16050,3752,0,0,0,0,0
16075,3752,0,0,0,0,0
16100,3752,0,0,0,0,0
16125,3752,0,0,0,0,0
16150,3752,0,0,0,0,0
16175,3752,0,0,0,0,0
16200,3752,0,0,0,0,0
16225,3752,0,0,0,0,0
16250,3752,0,0,0,0,0
16275,3752,0,0,0,0,0
16300,3752,0,0,0,0,0
16325,3752,0,0,0,0,0
16350,3752,0,0,0,0,0
16375,3752,0,0,0,0,0
16400,3752,0,0,0,0,0
16425,3752,0,0,0,0,0
16450,3752,0,0,0,0,0
16475,3752,0,0,0,0,0
16500,3752,0,0,0,0,0
16525,3752,0,0,0,0,0
16550,3752,0,0,0,0,0
16575,3752,0,0,0,0,0
16600,3752,0,0,0,0,0
16625,3752,0,0,0,0,0
16650,3752,0,0,0,0,0
16675,3752,0,0,0,0,0
16700,3752,0,0,0,0,0
16725,3752,0,0,0,0,0
16750,3752,0,0,0,0,0
16775,3752,0,0,0,0,0
16800,3752,0,0,0,0,0
16825,3752,0,0,0,0,0
16850,3752,0,0,0,0,0
16875,3752,0,0,0,0,0
16900,3752,0,0,0,0,0
16925,3752,0,0,0,0,0
16950,3752,0,0,0,0,0
16975,3752,0,0,0,0,0
17000,3752,0,0,0,0,0
17025,3752,0,0,0,0,0
17050,3752,0,0,0,0,0
17075,3752,0,0,0,0,0
17100,3752,0,0,0,0,0
17125,3752,0,0,0,0,0
17150,3752,0,0,0,0,0
17175,3752,0,0,0,0,0
17200,3752,0,0,0,0,0
17225,3752,0,0,0,0,0
17250,3752,0,0,0,0,0
17275,3752,0,0,0,0,0
17300,3752,0,0,0,0,0
17325,3752,0,0,0,0,0
17350,3752,0,0,0,0,0
17375,3752,0,0,0,0,0
17400,3752,0,0,0,0,0
17425,3752,0,0,0,0,0
17450,3752,0,0,0,0,0
17475,3752,0,0,0,0,0
17500,3752,0,0,0,0,0
17525,3866,0,0,0,0,0
17550,3866,0,0,0,0,0
17575,3866,0,0,0,0,0
17600,3866,0,0,0,0,0
17625,3866,0,0,0,0,0
17650,3866,0,0,0,0,0
17675,3866,0,0,0,0,0
17700,3866,0,0,0,0,0
17725,3866,0,0,0,0,0
17750,3866,0,0,0,0,0
17775,3866,0,0,0,0,0
17800,3866,0,0,0,0,0
17825,3866,0,0,0,0,0
17850,3866,0,0,0,0,0
17875,3866,0,0,0,0,0
17900,3866,0,0,0,0,0
17925,3866,0,0,0,0,0
17950,3866,0,0,0,0,0
17975,3866,0,0,0,0,0
18000,3866,0,0,0,0,0
18025,3866,0,0,0,0,0
18050,3866,0,0,0,0,0
18075,3866,0,0,0,0,0
18100,3866,0,0,0,0,0
18125,3866,0,0,0,0,0
18150,3866,0,0,0,0,0
18175,3866,0,0,0,0,0
18200,3866,0,0,0,0,0
18225,3866,0,0,0,0,0
18250,3866,0,0,0,0,0
18275,3866,0,0,0,0,0
18300,3866,0,0,0,0,0
18325,3866,0,0,0,0,0
18350,3866,0,0,0,0,0
18375,3866,0,0,0,0,0
18400,3866,0,0,0,0,0
18425,3866,0,0,0,0,0
18450,3866,0,0,0,0,0
18475,3866,0,0,0,0,0
18500,3866,0,0,0,0,0
18525,3866,0,0,0,0,0
18550,3866,0,0,0,0,0
18575,3866,0,0,0,0,0
18600,3866,0,0,0,0,0
18625,3866,0,0,0,0,0
18650,3866,0,0,0,0,0
18675,3866,0,0,0,0,0
18700,3866,0,0,0,0,0
18725,3866,0,0,0,0,0
18750,3866,0,0,0,0,0
18775,3866,0,0,0,0,0
18800,3866,0,0,0,0,0
18825,3866,0,0,0,0,0
18850,3866,0,0,0,0,0
18875,3866,0,0,0,0,0
18900,3866,0,0,0,0,0
18925,3866,0,0,0,0,0
18950,3866,0,0,0,0,0
18975,3866,0,0,0,0,0
19000,3866,0,0,0,0,0
19025,3866,0,0,0,0,0
19050,3866,0,0,0,0,0
19075,3980,0,0,0,0,0
19100,3980,0,0,0,0,0
19125,3980,0,0,0,0,0
19150,3980,0,0,0,0,0
19175,3980,0,0,0,0,0
19200,3980,0,0,0,0,0
19225,3980,0,0,0,0,0
19250,3980,0,0,0,0,0
19275,3980,0,0,0,0,0
19300,3980,0,0,0,0,0
19325,3980,0,0,0,0,0
19350,3980,0,0,0,0,0
19375,3980,0,0,0,0,0
19400,3980,0,0,0,0,0
19425,3980,0,0,0,0,0
19450,3980,0,0,0,0,0
19475,3980,0,0,0,0,0
19500,3980,0,0,0,0,0
19525,3980,0,0,0,0,0
19550,3980,0,0,0,0,0
19575,3980,0,0,0,0,0
19600,3980,0,0,0,0,0
19625,3980,0,0,0,0,0
19650,3980,0,0,0,0,0
19675,3980,0,0,0,0,0
19700,3980,0,0,0,0,0
19725,3980,0,0,0,0,0
19750,3980,0,0,0,0,0
19775,3980,0,0,0,0,0
19800,3980,0,0,0,0,0
19825,3980,0,0,0,0,0
19850,3980,0,0,0,0,0
19875,3980,0,0,0,0,0
19900,3980,0,0,0,0,0
19925,3980,0,0,0,0,0
19950,3980,0,0,0,0,0
19975,3980,0,0,0,0,0
20000,3980,0,0,0,0,0
20025,3980,0,0,0,0,0
20050,3980,0,0,0,0,0
20075,3980,0,0,0,0,0
20100,3980,0,0,0,0,0
20125,3980,0,0,0,0,0
20150,3980,0,0,0,0,0
20175,3980,0,0,0,0,0
20200,3980,0,0,0,0,0
20225,3980,0,0,0,0,0
20250,3980,0,0,0,0,0
20275,3980,0,0,0,0,0
20300,3980,0,0,0,0,0
20325,3980,0,0,0,0,0
20350,3980,0,0,0,0,0
20375,3980,0,0,0,0,0
20400,3980,0,0,0,0,0
20425,3980,0,0,0,0,0
20450,3980,0,0,0,0,0
20475,3980,0,0,0,0,0
20500,3980,0,0,0,0,0
20525,3980,0,0,0,0,0
20550,3980,0,0,0,0,0
20575,3980,0,0,0,0,0
