Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
11350,4171,2894,1761,2423,470
11375,4178,2904,1766,2433,473
11400,4184,2910,1773,2441,473
11425,4190,2918,1776,2446,473
11450,4197,2928,1784,2452,474
11475,4204,2941,1789,2460,475
11500,4212,2951,1796,2468,475
11525,4217,2962,1807,2478,477
11550,4224,2970,1811,2484,477
11575,4229,2977,1817,2494,477
11600,4235,2987,1824,2501,479
11625,4242,2997,1831,2513,480
11650,4248,3004,1837,2521,481
11675,4253,3012,1845,2533,483
11700,4262,3016,1848,2540,484
11725,4269,3029,1853,2550,486
11750,4275,3038,1859,2561,487
11775,4285,3048,1864,2572,487
11800,4296,3057,1872,2582,490
11825,4304,3066,1878,2590,491
11850,4307,3073,1885,2595,492
11875,4312,3082,1894,2602,495
11900,4318,3092,1903,2610,499
11925,4322,3101,1910,2615,501
11950,4327,3109,1918,2621,503
11975,4336,3119,1927,2630,503
12000,4341,3123,1935,2636,504
12025,4346,3131,1942,2646,504
12050,4355,3136,1946,2651,505
12075,4359,3145,1956,2660,506
12100,4365,3156,1962,2669,508
12125,4369,3164,1968,2673,508
12150,4375,3172,1974,2684,509
12175,4381,3182,1982,2695,511
12200,4388,3189,1985,2705,512
12225,4392,3200,1992,2713,513
12250,4399,3210,1996,2721,515
12275,4404,3218,2000,2727,516
12300,4415,3232,2009,2737,516
12325,4425,3241,2015,2742,516
12350,4434,3250,2020,2752,517
12375,4440,3256,2024,2758,518
12400,4447,3266,2030,2767,518
12425,4453,3274,2032,2772,518
12450,4459,3279,2035,2777,519
12475,4470,3288,2038,2785,520
12500,4479,3298,2046,2795,523
12525,4489,3314,2055,2805,524
12550,4496,3319,2059,2809,524
12575,4498,3326,2065,2814,525
12600,4505,3336,2074,2820,528
12625,4515,3345,2079,2828,528
12650,4521,3357,2088,2836,529
12675,4530,3366,2096,2843,530
12700,4539,3376,2102,2853,530
12725,4546,3386,2108,2863,531
12750,4552,3394,2114,2868,533
12775,4557,3406,2124,2877,536
12800,4565,3418,2133,2884,536
12825,4572,3427,2137,2895,537
12850,4580,3442,2145,2908,539
12875,4585,3452,2147,2916,539
12900,4591,3458,2154,2924,540
12925,4597,3468,2161,2928,541
12950,4604,3474,2166,2933,542
12975,4610,3483,2171,2941,542
13000,4618,3495,2175,2948,542
13025,4623,3504,2181,2956,542
13050,4630,3514,2188,2961,542
13075,4639,3524,2194,2967,544
13100,4648,3534,2201,2973,544
13125,4656,3545,2205,2979,546
13150,4668,3552,2209,2984,546
13175,4675,3556,2214,2990,547
13200,4680,3567,2222,2999,548
13225,4686,3575,2229,3005,549
13250,4691,3580,2233,3009,549
13275,4698,3591,2240,3016,551
13300,4704,3602,2246,3020,552
13325,4707,3608,2249,3026,553
13350,4710,3616,2253,3030,555
13375,4713,3624,2259,3036,556
13400,4717,3632,2266,3044,557
13425,4723,3639,2271,3049,558
