Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
17725,3866,0,6186,1958
17750,3866,0,6196,1960
17775,3866,0,6198,1960
17800,3866,0,6201,1962
17825,3866,0,6204,1962
17850,3866,0,6208,1964
17875,3866,0,6210,1964
17900,3866,0,6215,1970
17925,3866,0,6220,1970
17950,3866,0,6222,1970
17975,3866,0,6226,1976
18000,3866,0,6229,1976
18025,3866,0,6230,1978
18050,3866,0,6236,1978
18075,3866,0,6240,1984
18100,3866,0,6246,1984
18125,3866,0,6249,1984
18150,3866,0,6254,1986
18175,3866,0,6256,1986
18200,3866,0,6259,1998
18225,3866,0,6263,1998
18250,3866,0,6268,2002
18275,3866,0,6269,2002
18300,3866,0,6273,2006
18325,3866,0,6276,2006
18350,3866,0,6276,2006
18375,3866,0,6277,2022
18400,3866,0,6281,2022
18425,3866,0,6288,2024
18450,3866,0,6292,2024
18475,3866,0,6300,2048
18500,3866,0,6305,2048
18525,3866,0,6306,2048
18550,3866,0,6311,2050
18575,3866,0,6312,2050
18600,3866,0,6316,2052
18625,3866,0,6318,2052
18650,3866,0,6320,2060
18675,3866,0,6322,2060
18700,3866,0,6325,2060
18725,3866,0,6329,2060
18750,3866,0,6335,2060
18775,3866,0,6341,2064
18800,3866,0,6344,2064
18825,3866,0,6348,2064
18850,3866,0,6350,2064
18875,3866,0,6352,2066
18900,3866,0,6358,2066
18925,3866,0,6364,2076
18950,3866,0,6369,2076
18975,3866,0,6376,2076
19000,3866,0,6379,2078
19025,3866,0,6380,2078
19050,3866,0,6382,2088
19075,3980,0,6383,2088
19100,3980,0,6386,2090
19125,3980,0,6389,2090
19150,3980,0,6392,2090
19175,3980,0,6395,2092
19200,3980,0,6397,2092
19225,3980,0,6400,2094
19250,3980,0,6405,2094
19275,3980,0,6408,2096
19300,3980,0,6411,2096
19325,3980,0,6413,2096
19350,3980,0,6416,2096
19375,3980,0,6422,2096
19400,3980,0,6426,2098
19425,3980,0,6428,2098
19450,3980,0,6431,2102
19475,3980,0,6435,2102
19500,3980,0,6439,2106
19525,3980,0,6444,2106
19550,3980,0,6447,2106
19575,3980,0,6453,2112
19600,3980,0,6457,2112
19625,3980,0,6460,2118
19650,3980,0,6461,2118
19675,3980,0,6462,2124
19700,3980,0,6464,2124
19725,3980,0,6468,2138
19750,3980,0,6471,2138
19775,3980,0,6473,2138
19800,3980,0,6475,2146
19825,3980,0,6477,2146
19850,3980,0,6482,2156
19875,3980,0,6486,2156
19900,3980,0,6491,2162
19925,3980,0,6497,2162
19950,3980,0,6497,2162
19975,3980,0,6497,2162
20000,3980,0,6501,2162
20025,3980,0,6504,2176
20050,3980,0,6508,2176
20075,3980,0,6509,2194
20100,3980,0,6515,2194
20125,3980,0,6521,2196
20150,3980,0,6524,2196
20175,3980,0,6526,2196
20200,3980,0,6529,2198
20225,3980,0,6532,2198
20250,3980,0,6537,2200
20275,3980,0,6539,2200
20300,3980,0,6544,2202
20325,3980,0,6546,2202
20350,3980,0,6546,2204
20375,3980,0,6550,2204
20400,3980,0,6551,2204
20425,3980,0,6557,2206
20450,3980,0,6558,2206
20475,3980,0,6562,2216
20500,3980,0,6563,2216
20525,3980,0,6569,2220
20550,3980,0,6574,2220
20575,3980,0,6576,2220
20600,3980,0,6579,2224
20625,3980,0,6580,2224
20650,4094,0,6586,2244
20675,4094,0,6589,2244
20700,4094,0,6589,2246
20725,4094,0,6593,2246
20750,4094,0,6596,2246
20775,4094,0,6599,2246
20800,4094,0,6601,2246
20825,4094,0,6605,2248
20850,4094,0,6609,2248
20875,4094,0,6616,2254
20900,4094,0,6618,2254
20925,4094,0,6619,2256
20950,4094,0,6623,2256
20975,4094,0,6626,2256
21000,4094,0,6629,2256
21025,4094,0,6631,2256
21050,4094,0,6635,2258
21075,4094,0,6639,2258
21100,4094,0,6643,2258
21125,4094,0,6647,2258
21150,4094,0,6653,2258
21175,4094,0,6656,2258
21200,4094,0,6660,2258
21225,4094,0,6661,2276
21250,4094,0,6664,2276
21275,4094,0,6668,2284
21300,4094,0,6670,2284
21325,4094,0,6672,2286
21350,4094,0,6674,2286
21375,4094,0,6677,2286
21400,4094,0,6681,2296
21425,4094,0,6683,2296
21450,4094,0,6686,2300
21475,4094,0,6687,2300
21500,4094,0,6692,2302
21525,4094,0,6697,2302
21550,4094,0,6698,2304
21575,4094,0,6702,2304
21600,4094,0,6706,2304
21625,4094,0,6707,2324
21650,4094,0,6712,2324
21675,4094,0,6715,2326
21700,4094,0,6716,2326
21725,4094,0,6720,2334
21750,4094,0,6722,2334
21775,4094,0,6725,2338
21800,4094,0,6730,2338
21825,4094,0,6733,2338
21850,4094,0,6734,2344
21875,4094,0,6734,2344
21900,4094,0,6736,2350
21925,4094,0,6742,2350
21950,4094,0,6746,2374
21975,4094,0,6749,2374
22000,4094,0,6753,2374
22025,4094,0,6756,2376
22050,4094,0,6757,2376
22075,4094,0,6760,2392
22100,4094,0,6764,2392
22125,4094,0,6768,2394
22150,4094,0,6769,2394
22175,4094,0,6774,2406
22200,4094,0,6776,2406
22225,4094,0,6777,2406
22250,4094,0,6779,2408
22275,4094,0,6782,2408
22300,4208,0,6785,2414
22325,4208,0,6787,2414
22350,4208,0,6791,2416
22375,4208,0,6796,2416
22400,4208,0,6800,2416
22425,4208,0,6801,2426
22450,4208,0,6805,2426
22475,4208,0,6808,2440
22500,4208,0,6809,2440
22525,4208,0,6810,2444
22550,4208,0,6815,2444
22575,4208,0,6818,2450
22600,4208,0,6820,2450
22625,4208,0,6824,2450
22650,4208,0,6827,2452
22675,4208,0,6830,2452
22700,4208,0,6833,2454
22725,4208,0,6836,2454
22750,4208,0,6838,2464
22775,4208,0,6840,2464
22800,4208,0,6843,2464
22825,4208,0,6846,2466
22850,4208,0,6849,2466
22875,4208,0,6854,2468
22900,4208,0,6857,2468
22925,4208,0,6859,2480
22950,4208,0,6861,2480
22975,4208,0,6862,2490
23000,4208,0,6866,2490
23025,4208,0,6869,2490
23050,4208,0,6872,2500
23075,4208,0,6874,2500
23100,4208,0,6876,2504
23125,4208,0,6879,2504
23150,4208,0,6882,2506
23175,4208,0,6883,2506
23200,4208,0,6884,2520
23225,4208,0,6887,2520
23250,4208,0,6890,2520
23275,4208,0,6891,2522
23300,4208,0,6893,2522
23325,4208,0,6898,2524
23350,4208,0,6903,2524
23375,4208,0,6906,2530
23400,4208,0,6911,2530
23425,4208,0,6914,2530
23450,4208,0,6916,2534
23475,4208,0,6920,2534
23500,4208,0,6921,2544
23525,4208,0,6924,2544
23550,4208,0,6926,2546
23575,4208,0,6928,2546
23600,4208,0,6931,2548
23625,4322,0,6934,2548
23650,4322,0,6935,2548
23675,4322,0,6937,2550
23700,4322,0,6940,2550
23725,4322,0,6942,2550
23750,4322,0,6947,2550
23775,4322,0,6948,2550
23800,4322,0,6951,2550
23825,4322,0,6957,2550
23850,4322,0,6958,2556
23875,4322,0,6961,2556
23900,4322,0,6962,2564
23925,4322,0,6963,2564
23950,4322,0,6965,2568
23975,4322,0,6968,2568
24000,4322,0,6974,2576
24025,4322,0,6978,2576
24050,4322,0,6981,2576
24075,4322,0,6983,2578
24100,4322,0,6985,2578
24125,4322,0,6987,2580
24150,4322,0,6989,2580
24175,4322,0,6992,2584
24200,4322,0,6996,2584
24225,4322,0,6997,2584
24250,4322,0,7000,2586
24275,4322,0,7003,2586
24300,4322,0,7004,2588
24325,4322,0,7006,2588
24350,4322,0,7011,2608
24375,4322,0,7012,2608
24400,4322,0,7016,2618
24425,4322,0,7017,2618
24450,4322,0,7017,2618
24475,4322,0,7023,2624
24500,4322,0,7025,2624
24525,4322,0,7029,2634
24550,4322,0,7031,2634
24575,4322,0,7031,2648
24600,4322,0,7032,2648
24625,4322,0,7037,2654
24650,4322,0,7042,2654
24675,4322,0,7044,2654
24700,4322,0,7045,2656
