Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
9100,3562,2140,1315,1619,2836,372
9125,3575,2149,1320,1633,2850,372
9150,3582,2158,1330,1641,2863,373
9175,3586,2162,1335,1650,2874,374
9200,3596,2168,1339,1660,2885,376
9225,3598,2176,1343,1667,2893,376
9250,3606,2183,1348,1677,2908,378
9275,3612,2191,1352,1688,2920,379
9300,3620,2197,1357,1697,2933,379
9325,3628,2206,1361,1706,2940,380
9350,3633,2213,1366,1715,2945,382
9375,3640,2221,1370,1722,2956,383
9400,3651,2229,1374,1732,2968,385
9425,3662,2240,1378,1744,2983,386
9450,3673,2249,1382,1752,2991,386
9475,3680,2252,1386,1760,2999,386
9500,3687,2262,1388,1772,3010,388
9525,3695,2273,1393,1781,3021,389
9550,3701,2286,1398,1793,3030,392
9575,3707,2292,1402,1803,3040,393
9600,3713,2304,1408,1808,3049,393
9625,3724,2309,1411,1818,3057,394
9650,3733,2321,1414,1827,3069,395
9675,3739,2326,1418,1835,3075,395
9700,3745,2335,1426,1846,3086,396
9725,3753,2344,1428,1853,3093,397
9750,3755,2354,1433,1863,3102,398
9775,3762,2363,1438,1870,3115,399
9800,3769,2372,1444,1878,3127,403
9825,3775,2377,1447,1886,3132,403
9850,3782,2387,1452,1895,3141,407
9875,3789,2395,1455,1899,3146,408
9900,3796,2406,1458,1910,3155,410
9925,3803,2416,1462,1922,3164,411
9950,3808,2428,1470,1933,3174,411
9975,3814,2438,1472,1942,3182,411
10000,3820,2447,1474,1952,3192,411
10025,3828,2459,1482,1964,3207,412
10050,3833,2465,1483,1974,3214,412
10075,3838,2473,1486,1981,3220,414
10100,3843,2479,1487,1989,3230,415
10125,3851,2486,1490,1998,3241,415
10150,3859,2498,1496,2008,3249,415
10175,3866,2505,1501,2017,3254,418
10200,3868,2513,1505,2024,3259,418
10225,3875,2523,1514,2034,3272,420
10250,3882,2532,1519,2041,3280,423
10275,3888,2538,1520,2053,3286,423
10300,3898,2548,1528,2063,3295,424
10325,3903,2555,1531,2069,3303,425
10350,3907,2560,1535,2073,3306,426
10375,3910,2571,1543,2081,3320,426
10400,3917,2582,1549,2088,3331,429
10425,3922,2589,1554,2098,3340,431
10450,3927,2595,1560,2106,3346,434
10475,3936,2604,1564,2116,3356,437
10500,3942,2614,1570,2125,3366,437
10525,3951,2623,1575,2134,3374,438
10550,3957,2632,1582,2144,3385,439
10575,3962,2638,1587,2150,3396,439
10600,3969,2648,1593,2155,3404,440
10625,3976,2655,1595,2163,3411,440
10650,3983,2661,1599,2171,3419,442
10675,3992,2672,1607,2180,3430,443
10700,3994,2679,1612,2185,3437,444
10725,3999,2687,1618,2194,3443,444
10750,4005,2693,1621,2199,3454,446
10775,4014,2701,1627,2208,3465,446
10800,4022,2711,1634,2221,3477,446
10825,4030,2723,1643,2231,3490,447
10850,4038,2731,1648,2240,3497,450
10875,4047,2740,1657,2249,3505,450
10900,4054,2750,1662,2259,3511,450
10925,4060,2757,1665,2267,3519,450
10950,4067,2765,1672,2273,3531,451
10975,4077,2777,1675,2282,3542,453
11000,4085,2790,1684,2289,3553,454
11025,4089,2793,1686,2294,3561,454
11050,4096,2802,1693,2302,3572,454
11075,4103,2815,1698,2310,3585,454
11100,4109,2822,1702,2320,3595,455
11125,4110,2827,1708,2324,3600,458
11150,4113,2831,1710,2328,3609,460
11175,4116,2843,1717,2337,3618,462
11200,4127,2851,1724,2349,3627,464
11225,4135,2857,1729,2357,3634,465
11250,4138,2861,1732,2361,3640,466
11275,4146,2866,1735,2368,3648,466
11300,4153,2877,1747,2379,3660,467
11325,4163,2886,1754,2389,3669,468
11350,4171,2894,1761,2400,3676,468
11375,4178,2904,1766,2412,3685,469
11400,4184,2910,1773,2422,3695,470
11425,4190,2918,1776,2428,3703,472
11450,4197,2928,1784,2435,3715,473
11475,4204,2941,1789,2443,3725,473
11500,4212,2951,1796,2452,3738,475
11525,4217,2962,1807,2462,3750,477
11550,4224,2970,1811,2470,3758,479
11575,4229,2977,1817,2481,3768,481
11600,4235,2987,1824,2489,3778,481
11625,4242,2997,1831,2500,3790,481
11650,4248,3004,1837,2511,3802,481
11675,4253,3012,1845,2520,3819,482
11700,4262,3016,1848,2523,3829,485
11725,4269,3029,1853,2532,3843,488
11750,4275,3038,1859,2540,3853,488
11775,4285,3048,1864,2548,3866,490
11800,4296,3057,1872,2559,3878,490
11825,4304,3066,1878,2569,3888,491
11850,4307,3073,1885,2578,3898,492
11875,4312,3082,1894,2586,3907,496
11900,4318,3092,1903,2594,3921,496
11925,4322,3101,1910,2602,3931,497
11950,4327,3109,1918,2609,3942,497
11975,4336,3119,1927,2618,3955,497
12000,4341,3123,1935,2625,3960,499
12025,4346,3131,1942,2633,3970,500
12050,4355,3136,1946,2641,3978,501
12075,4359,3145,1956,2650,3989,501
12100,4365,3156,1962,2660,3999,502
12125,4369,3164,1968,2666,4011,505
12150,4375,3172,1974,2677,4019,505
12175,4381,3182,1982,2685,4028,506
12200,4388,3189,1985,2692,4037,507
12225,4392,3200,1992,2702,4046,507
12250,4399,3210,1996,2710,4056,508
12275,4404,3218,2000,2720,4063,508
12300,4415,3232,2009,2731,4076,509
12325,4425,3241,2015,2743,4086,510
12350,4434,3250,2020,2753,4098,512
12375,4440,3256,2024,2761,4104,513
12400,4447,3266,2030,2774,4118,513
12425,4453,3274,2032,2782,4122,514
12450,4459,3279,2035,2788,4127,515
12475,4470,3288,2038,2797,4134,517
12500,4479,3298,2046,2807,4141,517
12525,4489,3314,2055,2819,4155,517
12550,4496,3319,2059,2824,4161,518
12575,4498,3326,2065,2831,4170,518
12600,4505,3336,2074,2841,4177,520
12625,4515,3345,2079,2852,4184,520
12650,4521,3357,2088,2861,4191,523
12675,4530,3366,2096,2875,4200,523
12700,4539,3376,2102,2888,4211,523
12725,4546,3386,2108,2896,4217,523
12750,4552,3394,2114,2901,4226,523
12775,4557,3406,2124,2911,4236,524
12800,4565,3418,2133,2921,4248,525
12825,4572,3427,2137,2932,4258,527
12850,4580,3442,2145,2946,4269,527
12875,4585,3452,2147,2958,4274,527
12900,4591,3458,2154,2964,4281,527
12925,4597,3468,2161,2973,4287,527
12950,4604,3474,2166,2979,4293,527
12975,4610,3483,2171,2989,4302,527
13000,4618,3495,2175,3000,4312,530
13025,4623,3504,2181,3009,4324,532
13050,4630,3514,2188,3021,4336,534
13075,4639,3524,2194,3034,4345,535
13100,4648,3534,2201,3044,4352,535
13125,4656,3545,2205,3052,4360,535
13150,4668,3552,2209,3060,4366,536
13175,4675,3556,2214,3064,4372,536
13200,4680,3567,2222,3072,4383,537
13225,4686,3575,2229,3081,4392,537
13250,4691,3580,2233,3087,4399,537
13275,4698,3591,2240,3098,4411,539
13300,4704,3602,2246,3104,4421,539
13325,4707,3608,2249,3107,4426,542
13350,4710,3616,2253,3117,4432,544
13375,4713,3624,2259,3121,4439,545
13400,4717,3632,2266,3128,4447,546
13425,4723,3639,2271,3135,4459,546
13450,4728,3645,2276,3143,4465,547
13475,4735,3654,2283,3154,4476,548
13500,4739,3665,2289,3162,4481,548
